handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
Pentosh1,content_creator,contrarian,0.0028878407560804053,0.9304467597303631,916,0.021113029349040316,0.0497482537248735,0,26,,0.6153846153846154
NickTimiraos,macro,neutral,-0.003227357459909792,0.9222940462745414,916,0.042647976221056115,0.05703770956221693,141,0,0.4326241134751773,
CryptoKaleo,mixed,long_tilted,-0.011874838045185448,0.7196551494296309,916,0.032020873724836474,0.061497890018351896,128,0,0.390625,
VetleLunde,derivatives,long_tilted,-0.018246915812708927,0.5812610129661023,916,0.017311027738483302,0.02200077243869132,0,0,,
ai_9684xtpa,onchain,neutral,-0.020428816983885045,0.5368994610479567,916,0.001492372030079384,0.014681119843749238,0,0,,
Steph_iscrypto,content_creator,long_tilted,-0.025593530486814276,0.43912607601965,916,0.028585924986826525,0.04641170289086533,73,0,0.2328767123287671,
qinbafrank,mixed,long_tilted,-0.0319018925327915,0.3348185904030077,916,0.03498400363457405,0.036084258699144535,29,0,0.2413793103448276,
CoinHuSays,mixed,long_tilted,-0.03344567452856133,0.31194441857799055,916,0.025060978260612383,0.03530403152714266,54,0,0.3333333333333333,
MacroCRG,mixed,long_tilted,-0.03485582918936737,0.2919705812685679,916,0.02189004278782,0.026487438638900487,2,0,1.0,
IncomeSharks,mixed,long_tilted,-0.04585174657492992,0.1655759640830428,916,0.02389589827657593,0.045406387125311067,152,4,0.375,0.5
GugaOnChain,onchain,neutral,-0.04840365436133334,0.14324365824976917,916,0.00308094262474065,0.013391124559255414,0,0,,
HsakaTrades,derivatives,contrarian,-0.056928274375136645,0.08506839978928785,916,0.019126459514133776,0.0413586176832609,1,5,0.0,0.2
CrypNuevo,derivatives,contrarian,-0.06773970760884927,0.040390703953147866,916,0.012149669532194787,0.03712308749200039,29,5,0.5172413793103449,0.2
CastilloTrading,structural,long_tilted,-0.06914574751877638,0.0364047888390205,916,0.015913693802211464,0.042453329406753816,11,7,0.8181818181818182,0.14285714285714285
CryptoGodJohn,mixed,long_tilted,-0.0705901772754357,0.032663570013365194,916,0.017821623026467562,0.03179101161352497,10,4,0.8,0.25
ColdBloodShill,mixed,long_tilted,-0.07711051020649595,0.01959170381832374,916,0.01296802731615469,0.033229828138357745,5,2,1.0,0.5
CryptoCred,mixed,neutral,-0.08002758657461777,0.015407614565393002,916,0.021861686737420397,0.03539872185305591,31,2,0.25806451612903225,0.0
shufen46250836,mixed,long_tilted,-0.08705716580312864,0.008383124523442623,916,0.04505399481551109,0.048883237823484825,115,0,0.4,
fundstrat,mixed,long_tilted,-0.09316419912419341,0.004773268319466119,916,0.04420158290421707,0.05051733178491931,160,0,0.38125,
christiaandefi,mixed,long_tilted,-0.09408651054582143,0.004371779900781002,916,0.01916767572720847,0.029818730994835715,18,0,0.1111111111111111,
Engineercryptoo,mixed,long_tilted,-0.09668917267108626,0.00339819245284238,916,0.020250599311214156,0.04260504696764564,147,0,0.3945578231292517,
WClementeIII,macro,long_tilted,-0.10246572809259706,0.0019020362519658876,916,0.029538766246094895,0.03700015514608006,41,0,0.2682926829268293,
Sheldon_Sniper,pure_TA,long_tilted,-0.10334152432514679,0.0017373835527563697,916,0.018717185437188987,0.0422248625503679,149,0,0.3959731543624161,
