handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
Negentropic_,mixed,long_tilted,0.024523936100710908,0.4584952077001434,916,0.038395348719215,0.056943832526856086,151,0,0.3973509933774834,
Jackyi_ld,mixed,long_tilted,0.023092939510204875,0.48514098657840754,916,0.021925798251841013,0.0802636958677533,136,71,0.40441176470588236,0.5070422535211268
EmperorBTC,mixed,long_tilted,0.02300455074309884,0.4868138352088926,916,0.013747411277636944,0.06695732184007878,87,4,0.5057471264367817,0.25
LayahHeilpern,content_creator,long_tilted,0.020803107113925225,0.5294639020963476,916,0.03523457619527488,0.11912865552709691,329,132,0.44376899696048633,0.42424242424242425
TechDev_52,cycle,long_tilted,0.015342291976555872,0.6428374356802655,916,0.034979070308260765,0.052425086503564436,125,0,0.384,
CryptoTony__,mixed,long_tilted,0.012923014727614934,0.6960902368520907,916,0.021420001776344177,0.04771745668402796,84,0,0.4642857142857143,
StackerSatoshi,mixed,long_tilted,0.008203093700018631,0.8041840591238405,916,0.01914678374974574,0.07116398806643218,149,44,0.42953020134228187,0.4090909090909091
Kingpincrypto12,structural,long_tilted,0.006392802367315647,0.8467873915252121,916,0.0023927434030776946,0.05505854518683452,21,24,0.47619047619047616,0.4583333333333333
Tradermayne,mixed,contrarian,0.0017508561565444953,0.9577970787915344,916,0.012135518287961842,0.06992353554301853,108,62,0.5,0.3870967741935484
ai_9684xtpa,onchain,neutral,-0.0026675950143012716,0.9357394085970117,916,0.0005238779524812702,0.01251893975311338,0,0,,
KillaXBT,mixed,contrarian,-0.007225514988609957,0.8271268095591741,916,-0.015198572792805202,0.056954607102341154,5,131,0.4,0.3969465648854962
LedgerStatus,mixed,long_tilted,-0.008938774218405249,0.7870276385750761,916,0.015961631738757205,0.07452541897684409,137,51,0.46715328467153283,0.37254901960784315
CryptoFaibik,pure_TA,long_tilted,-0.011102500420740942,0.7371920239996567,916,0.005948874574737373,0.04805152966840903,70,1,0.45714285714285713,1.0
Deltaking888,pure_TA,short_tilted,-0.01251182457355974,0.7053011529795773,916,-0.017115385859637792,0.0855715674167326,87,190,0.4367816091954023,0.45263157894736844
WillyWoo,onchain,long_tilted,-0.014182183163499092,0.6681661623035591,916,0.04198731677467804,0.05830430425934981,209,0,0.3588516746411483,
TimmerFidelity,mixed,long_tilted,-0.016252523356047082,0.6232486560795425,916,0.05093657153531514,0.07189977820290738,239,1,0.3682008368200837,0.0
CryptoKaleo,mixed,long_tilted,-0.018394382171021004,0.5782095709289872,916,0.033979767254344165,0.06233864929773482,137,1,0.38686131386861317,0.0
Pentosh1,content_creator,contrarian,-0.018661464377012542,0.5727022107389292,916,0.024631867573880365,0.04469626017059844,0,13,,0.6153846153846154
pierre_crypt0,pure_TA,neutral,-0.021494348534977257,0.5158706519330558,916,-0.008208097293034938,0.054692352559488205,8,54,0.5,0.4074074074074074
matthughes13,mixed,contrarian,-0.02603667692778307,0.4312407477964251,916,0.04568809629752271,0.05998390507669378,197,0,0.3604060913705584,
paulbarron,content_creator,long_tilted,-0.0260689343617688,0.43066997887493613,916,0.03191096642651827,0.06600753059888224,160,1,0.4375,1.0
CryptoNTez,mixed,long_tilted,-0.031096386469594787,0.3471715737772359,916,-0.0070306131185228,0.07282129504615163,82,136,0.45121951219512196,0.40441176470588236
Michael_Liu93,structural,short_tilted,-0.034680835322602875,0.2944015336189509,916,-0.01973789568925968,0.045465562870570915,0,63,,0.42857142857142855
Tree_of_Alpha,mixed,contrarian,-0.03644486652602437,0.27051309922580363,916,-0.030031996190653165,0.04630558888865711,0,10,,0.4
GuruMemeCoin,mixed,long_tilted,-0.047482724199337384,0.1510206514060292,916,-0.00018993916223594467,0.05999022728554485,12,12,0.16666666666666666,0.5
CrypNuevo,derivatives,contrarian,-0.05121321387474008,0.12140742170857019,916,0.013213671506696174,0.03610938080230873,37,1,0.2972972972972973,0.0
ewforecast,structural,neutral,-0.05278018851253425,0.11041069984493079,916,0.017146695424055527,0.05144181190063769,77,1,0.44155844155844154,1.0
EmberCN,mixed,neutral,-0.056311067944250684,0.08851069861598987,916,-0.00723524937328158,0.033253856808022626,0,0,,
OnchainDataNerd,onchain,neutral,-0.057261011329106055,0.08325797835944386,916,-0.006764570995593308,0.04187210285351583,0,0,,
TraderMercury,pure_TA,long_tilted,-0.0591252053806773,0.07368331763945694,916,0.005337823957851229,0.06422271020763708,77,7,0.3246753246753247,0.42857142857142855
CoinHuSays,mixed,long_tilted,-0.05957327702528055,0.07152129057481975,916,0.026388072282758673,0.037738210958290226,75,0,0.32,
Ninjascalp,mixed,contrarian,-0.06503674510441669,0.04909509842361412,916,0.011132745735887479,0.01903114205116234,0,0,,
PeterLBrandt,mixed,contrarian,-0.06570996346386491,0.04679202856702389,916,-0.003909297459953999,0.05059137697473026,6,11,0.6666666666666666,0.5454545454545454
JamieSaettele,mixed,contrarian,-0.06898292476565328,0.03684853186522797,916,0.015235203684854915,0.02432070641885935,2,0,0.5,
HsakaTrades,derivatives,contrarian,-0.06913256017191564,0.03644055850248773,916,0.01917064652202405,0.040314785520396135,4,1,0.25,0.0
VetleLunde,derivatives,long_tilted,-0.07266661729909073,0.027864006881321964,916,0.017311027738483302,0.02200077243869132,0,0,,
devchart,mixed,contrarian,-0.07542688405324907,0.02243229185707433,916,-0.018083600061873092,0.06264711234134303,3,214,0.0,0.45794392523364486
hyblockcapital,derivatives,contrarian,-0.07719877145436745,0.019451857122341397,916,-0.018842934756819363,0.03350492732262922,6,5,0.16666666666666666,0.4
Crypto_Birb,mixed,long_tilted,-0.07802587194006115,0.01818309911592689,916,-0.004790684921362832,0.06280949926699057,21,4,0.09523809523809523,0.5
Anbessa100,mixed,long_tilted,-0.079175776937359,0.01653961604738175,916,-0.0036035880998988943,0.05343670048316483,15,15,0.13333333333333333,0.6
BigCheds,pure_TA,neutral,-0.08045226210033404,0.014869115217534118,916,-0.0013483870022040064,0.03361185998481178,0,0,,
CastilloTrading,structural,long_tilted,-0.08106229249236879,0.01412456699583579,916,0.017207694890447024,0.04170150222146377,12,2,0.3333333333333333,0.0
defi_mochi,mixed,contrarian,-0.0810812207010937,0.014101999924728183,916,-0.0047887446278359605,0.07513285069204285,76,221,0.34210526315789475,0.45701357466063347
